Date,Close/Last,Volume,Open,High,Low
07/01/2022,$87.55,26327860,$86.74,$87.88,$84.71
06/30/2022,$85.64,39948070,$86.14,$87.6,$84.67
06/29/2022,$88.12,25400940,$92.98,$93.2,$87.755
06/28/2022,$91.5,33123000,$91.12,$93.24,$90.35
06/27/2022,$89.03,25478680,$87.81,$90.04,$87.67
06/24/2022,$86.9,26638990,$86.95,$88.4,$85.81
06/23/2022,$85.21,35757210,$88.66,$89.05,$83.52
06/22/2022,$87.86,29769630,$87.54,$89.76,$87.53
06/21/2022,$91.48,35951460,$88.58,$92.53,$88.52
06/17/2022,$86.12,64610190,$90.96,$91.35,$85.655
06/16/2022,$91.39,35696750,$92.41,$93.13,$90.28
06/15/2022,$94.89,29620780,$95.99,$96.57,$93.27
06/14/2022,$96.1,31264020,$97.41,$98.67,$95.2702
06/13/2022,$95.85,33421050,$97.52,$97.77,$93.92
06/10/2022,$100.46,30958350,$101.94,$103.35,$99.79
06/09/2022,$102.33,26634340,$103.42,$104.57,$102.16
06/08/2022,$104.59,31613160,$103.49,$105.57,$102.98
06/07/2022,$103.37,37810230,$99.7,$103.43,$99.49
06/06/2022,$98.84,20682050,$99.18,$99.78,$98.67
