,ticker,posts,lastPosts,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
0,TSLA,3458,3049,1014264,690869,23267641,15704249,1,135829,70838,"Tesla, Inc.",681.79,8.369995,0.012429086,24820148,706600304640,31533484,673.42
1,AMC,2550,2903,571193,503832,4647539,6263370,2,91688,81021,"AMC Entertainment Holdings, Inc.",13.53,-0.0200005,-0.0014760499999999998,30952624,6992582650,25348273,13.55
2,SPY,2166,1308,194365,99636,5383167,5995653,3,389947,19647,SPDR S&P 500 ETF Trust,381.24,3.98999,0.010576499999999999,74839729,349895196672,112508273,377.25
3,QQQ,1363,998,348333,76651,6950804,5013078,4,261852,28459,Invesco QQQ Trust,282.13,1.8500061,0.006600564,56675107,110905303040,79313580,280.28
4,ZEN,1189,190,605896,12883,2557217,396508,5,698719,12549,"Zendesk, Inc.",74.51,0.440002,0.00594036,6011716,9130703593,7624112,74.07
5,GME,1153,999,124717,146134,1803132,1253330,6,23954,27419,GameStop Corp.,123.42,1.12,0.009157769999999999,1654279,9395845376,1679668,122.3
6,BBIG,1105,1158,43255,57799,1620621,888262,7,11065,20130,"Vinco Ventures, Inc.",1.27,-0.11000001,-0.079710155,12906433,296089061,17298725,1.38
7,AAPL,725,631,21183,11208,3166163,2052015,8,2808,2322,Apple Inc.,138.93,2.2099915,0.01616436,71051552,2248609628160,98964467,136.72
8,NIO,697,569,13745,13364,1666679,1280023,9,2474,4152,NIO Inc.,21.36,-0.359999,-0.016574500000000002,56855466,33298324777,53074070,21.72
9,BABA,648,265,32073,4141,3111817,1011774,10,26822,689,Alibaba Group Holding Limited,116.0,2.32,0.0204082,16679403,310300016640,13836210,113.68
